09:58:33.387 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.IllegalArgumentException
09:58:33.392 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.elasticsearch.common.inject.InjectorBuilder.loadEagerSingletons(InjectorBuilder:193)
09:58:33.393 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.elasticsearch.common.inject.InjectorBuilder
09:58:33.393 [main] INFO  eu.stamp.botsing.Botsing - Guided_MOSA
09:58:34.031 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 39.
09:58:38.560 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
09:58:38.568 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
09:58:38.587 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - The number of goals are 1: 
09:58:38.588 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Generating solution in MOSA
09:58:39.573 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
09:58:41.705 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@29a3ea07: 35.96969696969697
09:58:41.705 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #1 is created.
09:58:41.705 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
09:58:42.047 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@29a3ea07: 35.96969696969697
09:58:42.047 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #2 is created.
09:58:42.047 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
09:58:42.396 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@29a3ea07: 35.96969696969697
09:58:42.396 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #3 is created.
09:58:42.397 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
09:58:42.781 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@29a3ea07: 35.96969696969697
09:58:42.781 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #4 is created.
09:58:42.781 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
09:58:43.164 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@29a3ea07: 35.96969696969697
09:58:43.164 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #5 is created.
