05:18:35.135 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected:  java.lang.StringIndexOutOfBoundsException
05:18:35.157 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.elasticsearch.search.fetch.FetchPhase.execute(FetchPhase:188)
05:18:35.158 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.elasticsearch.search.fetch.FetchPhase
05:18:35.158 [main] INFO  eu.stamp.botsing.Botsing - Guided_MOSA
05:18:39.292 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 39.
05:19:16.996 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
05:19:17.008 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
05:19:17.051 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - The number of goals are 1: 
05:19:17.052 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Generating solution in MOSA
05:19:22.258 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:19:52.167 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:19:52.167 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #1 is created.
05:19:52.167 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:20:01.249 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:20:01.249 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #2 is created.
05:20:01.250 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:20:17.886 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:20:17.887 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #3 is created.
05:20:17.887 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:20:49.644 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:20:49.644 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #4 is created.
05:20:49.644 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:21:21.877 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:21:21.877 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #5 is created.
05:21:21.878 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:21:29.939 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:21:29.940 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #6 is created.
05:21:29.940 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:21:45.331 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:21:45.331 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #7 is created.
05:21:45.331 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
05:21:54.876 [main] INFO  e.s.b.f.FitnessFunctions - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@34eaf3a8: 7.666666666666666
05:21:54.876 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #8 is created.
05:21:54.876 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
